verse_no,en,hmr
1,"By night on my bed I sought him whom my soul loveth: I sought him, but I found him not.","Zânah ka khum chungah ka thlain a hmangai chu ka zawng a, Ama chu ka zawng a, anachu ka hmu nawh a."
2,"I said, I will rise now, and go about the city; In the streets and in the broad ways I will seek him whom my soul loveth: I sought him, but I found him not.","“Tuhin tho ka ta, khawpui chu fang vêl ka ta, Kawtthlêrhaia le lamlienhaia chun, Ka thlain a hmangai chu zawng ka tih” ka tih a. Ama chu ka zawng a, ka hmu nawh a."
3,"The watchmen that go about the city found me; To whom I said, Saw ye him whom my soul loveth?","Vêngtu khawpui fang vêltuhai chun an mi hmuh a, An kuoma chun, “Ka thlain a hmangai kha in lo hmu am?” ka tih a."
4,"It was but a little that I passed from them, When I found him whom my soul loveth: I held him, and would not let him go, Until I had brought him into my mother’s house, And into the chamber of her that conceived me.","Anni ka fe khêl hnung sâwt nawtêah, Ka thlain a hmangai chu ka hmuh a. Ama chu ka chel a, kân fetir ta nawh a; Ka nu inah ka hung ṭhuoi a, Kei a mi neitunu pindana ka hung ṭhuoi lût hmakhat chun."
5,"I adjure you, O daughters of Jerusalem, By the roes, or by the hinds of the field, That ye stir not up, nor awake my love, Until he please.","Aw Jerusalem naunuhai, ka ngên cheu, Phûla sazukpuihai le sakhihaiin, Ka hmangai chu sukṭhangin suktho naw ro, Ama a nuom hmakhat chun."
6,"Who is this that cometh up from the wilderness Like pillars of smoke, Perfumed with myrrh and frankincense, With all powders of the merchant?","Meikhu intung lui lui anga Thlalêra inthawka hung suok a, Dâwrkai paudâr po po le, Beraw le murraa innâl riminhnik hi tu am a na?"
7,"Behold, it is the litter of Solomon; Threescore mighty men are about it, Of the mighty men of Israel.","En ta, a khum hi, Solomon ta hi, Mi thilthawtheitak sâwmrukin an inhuol a, Israel mi hrât khawkhênghai chun."
8,"They all handle the sword, and are expert in war: Every man hath his sword upon his thigh, Because of fear in the night.","Kâwlhnâm an chawi seng a, indonaa thiemsa an nih; Mi tin chun an kâwlhnâm chu an êlpui chungah an pai seng a, Zâna ṭitna lei chun."
9,King Solomon made himself a palanquin Of the wood of Lebanon.,"Lal Solomon chun inzâwnna khum a siem a, Lebanon thingin."
10,"He made the pillars thereof of silver, The bottom thereof of gold, the seat of it of purple, The midst thereof being paved with love, From the daughters of Jerusalem.","A banhai chu tangkaruoin a siem a, A ṭuong rângkachakin, a ṭhungna a dumpâwlin, A sûngril tieng chu hmangaina le rem a na, Jerusalem nauhaiin."
11,"Go forth, O ye daughters of Zion, and behold king Solomon, With the crown wherewith his mother hath crowned him In the day of his espousals, And in the day of the gladness of his heart.","Aw nangni Zion naunuhai, fe suok unla, lal Solomon chu en ro, Nuhmei a nei nia le a lungril a hlim nia a nuin lallukhum ân khumtir kha."
