verse_no,en,hmr
1,"Gather yourselves together, yea, gather together, O nation that hath no shame;","Nangni le nangni inkei khâwm unla, anih, inkei khâwm ro, aw inzakna hre lo hnamhai;"
2,"before the decree bring forth, before the day pass as the chaff, before the fierce anger of Jehovah come upon you, before the day of Jehovah’s anger come upon you.","thupêk chu lâk suok a ni hma hin, busi anga ni chu a liem el hma hin, in chunga LALPA lunginsenna ṭiumtak a hung tlung hma ngei hin, in chunga LALPA lunginsenna a hung tlung ni hma ngei hin."
3,"Seek ye Jehovah, all ye meek of the earth, that have kept his ordinances; seek righteousness, seek meekness: it may be ye will be hid in the day of Jehovah’s anger.","Nangni a rorêlnahai anga thaw- tu, hnuoi chunga zainêm po pohai, LALPA chu zawng ro; felna chu zawng unla, zainêmna chu zawng ro; LALPA lunginsenna nia chun thupa in um theina dingin."
4,"For Gaza shall be forsaken, and Ashkelon a desolation; they shall drive out Ashdod at noonday, and Ekron shall be rooted up.","Gaza chu mâksanin um a ta, Askelon chu râusanin, Asdod chu sûn changlai hnawt suok an ta, Ekron chu a zunga phawi dawk a ni ding a ni sih a."
5,"Woe unto the inhabitants of the sea-coast, the nation of the Cherethites! The word of Jehovah is against you, O Canaan, the land of the Philistines; I will destroy thee, that there shall be no inhabitant.","Kereth hnam, tuisuoriet panga chêngtuhai chu an chung a va rik de! Aw Kanaan, Philistin mihai ram, LALPA thu chu nangma chungah a hung tlung a nih; Suksieng ka ti cheh a, a hluotu che um naw ni hai."
6,"And the sea-coast shall be pastures, with cottages for shepherds and folds for flocks.","Tuisuoriet panghrûl chu ran ruolhai ta dinga inhai le, berâmpuhai ta dinga inhai umna hmun le ran ruol tlatna hmun hung nîng a tih."
7,"And the coast shall be for the remnant of the house of Judah; they shall feed their flocks thereupon; in the houses of Ashkelon shall they lie down in the evening; for Jehovah their God will visit them, and bring back their captivity.","Chu vakam hrûl chu Juda sûng- kuo a la um sunhai ta ding kha nîng a ta, chutaka chun an ran ruol chu intlattir tâng an ta, Askelon inhaia chun zânah riek an tih; LALPA an Pathien chun anni chu hung sir a ta, an sal intângna chu a hlîppêk ta ding a ni sih a."
8,"I have heard the reproach of Moab, and the revilings of the children of Ammon, wherewith they have reproached my people, and magnified themselves against their border.","Moab mihai hrilsietna le, Ammon thlahaiin an chierkhumnahai, ka mi- hai an hrilsieta an ramrihai ngeiah an vân suklien thu chu ka lo hriet a."
9,"Therefore as I live, saith Jehovah of hosts, the God of Israel, Surely Moab shall be as Sodom, and the children of Ammon as Gomorrah, a possession of nettles, and saltpits, and a perpetual desolation: the residue of my people shall make a prey of them, and the remnant of my nation shall inherit them.","Chuleiin, kei le kei insâlin, sipaihai LALPA, Israelhai Pathien chun a tih: “Matheiloin Moab chu Sodom ang hung nîng a ta, Ammon thlahai chu Gomorra, chikhurhai hmun le zakthlai bil râusan kumkhuo ang chu hung nîng a tih. Ka mi a la um sunhai chun anni chu suksieng an ta, ka mi a la um sunhai chun hluong an tih.”"
10,"This shall they have for their pride, because they have reproached and magnified themselves against the people of Jehovah of hosts.","Sipaihai LALPA mihai chunga chun anni chu an insuklienin, anni chu an lo hrilsiet ta leiin hi thil hi an chapopui dingin an hmu ding a nih."
11,"Jehovah will be terrible unto them; for he will famish all the gods of the earth; and men shall worship him, every one from his place, even all the isles of the nations.","An chunga chun LALPA chu ṭiumtak nîng a ta; hnuoi chunga pathienhai po po chu a sukbohmang ding a ni sih a; chuongchun, mihriem- hai chun ama chu be tâng an ta, mi tinin mâni hmun senga inthawk le, hnamhai po po chun mâni thlierkâr- haia inthawk chun."
12,"Ye Ethiopians also, ye shall be slain by my sword.",Nangni Ethiopia mihai khawm ka kâwlhnâma sât hlum nîng in tih.
13,"And he will stretch out his hand against the north, and destroy Assyria, and will make Nineveh a desolation, and dry like the wilderness.","Chun, ama chun hmârtienga chun a bân phar a ta, Assuria chu suksieng a ta; Ninevi chu râusan le thlalêr anga ṭâwlin siem a tih."
14,"And herds shall lie down in the midst of her, all the beasts of the nations: both the pelican and the porcupine shall lodge in the capitals thereof; their voice shall sing in the windows; desolation shall be in the thresholds: for he hath laid bare the cedar-work.","A sûnga chun ran ruolhai riek an ta, ran chi tinrênghai chu: kai- kuongrâl le saku chu, a khawpui laia chun riek an ta, an râwlhai chu tukvera inthawka hriet nîng a ta: sidar thinga remhai khawm chu a sukruok ta sih a."
15,"This is the joyous city that dwelt carelessly, that said in her heart, I am, and there is none besides me: how is she become a desolation, a place for beasts to lie down in! every one that passeth by her shall hiss, and wag his hand.","Hi hi khawpui hlim, fîmkhur lotaka khawsa a, a lungrila, “Kei ka nih, kei naw chu tu dang khawm an um nawh,” titu chu: iengtiziea râusana umin ran ruol riekna hmun a hung ni el am a ni ta leh aw! tukhawm a fe khêl taphawt chun inhlîp an ta, an kut thinkhum an tih."
