verse_no,en,hmr
1,"Remember, O Jehovah, what is come upon us: Behold, and see our reproach.","Aw LALPA, kan chunga thil hung tlung hi hre zing rawh; Ngai la, kan muolphona hi en ta."
2,"Our inheritance is turned unto strangers, Our houses unto aliens.","Kan rochan chu hnam danghai taah ân chang a, Kan inhai chu ram dang mihai kuomah."
3,We are orphans and fatherless; Our mothers are as widows.,"Fahrahai le pa nei lohai kan na, Kan nuhai chu hmeithai ang an nih."
4,We have drunken our water for money; Our wood is sold unto us.,"Kan tui chu tangka manah kan dâwn a, Kan thinghai khawm chu kan kuoma zawrin a um a."
5,"Our pursuers are upon our necks: We are weary, and have no rest.","A mi hnawttuhai chun kan rîngah an mi man a; Kan sâwl hle a, châwl kan hmu nawh."
6,"We have given the hand to the Egyptians, And to the Assyrians, to be satisfied with bread.","Kut chu Aigupta mihai kuomah kan daw a, Assuria mihai kuoma leh, beia suktlai dingin."
7,"Our fathers sinned, and are not; And we have borne their iniquities.","Kan thlatuhai chu an lo suol tah a, an um ta nawh a, Keiniin an khawhlona chu kan phur a nih."
8,Servants rule over us: There is none to deliver us out of their hand.,"Siehlawhai chun kan chungah ro an rêl a, An kuta inthawka mi sansuok ding tukhawm an um nawh."
9,"We get our bread at the peril of our lives, Because of the sword of the wilderness.",Kan bei chu kan hringna lungngaithlâk leh kan hlawh a; Thlalêra kâwlhnâm lei chun.
10,"Our skin is black like an oven, Because of the burning heat of famine.","Kan vun chu ṭâmna kâng lumna lei chun, Meithuk ang elin a lum a."
11,"They ravished the women in Zion, The virgins in the cities of Judah.","Nuhmeihai chu Zionah suollui an nih a, Nunghâkhai chu Juda khawpuihaiah an suol- lui a."
12,Princes were hanged up by their hand: The faces of elders were not honored.,Lal nauhai chu an kut ngeiin an khâi hlum a; Upahai hmâi inzâna hrim a um nawh.
13,The young men bare the mill; And the children stumbled under the wood.,"Tlangvâlhai chu bu râwt dingin an lâk a, Naupanghai chu thing puta pêm ṭâng ṭângin an tluh a."
14,"The elders have ceased from the gate, The young men from their music.","Upahai chun dai kawtkhâr an rielsan a, Tlangvâlhai chun an rimawihai chu an tâwpsan a."
15,The joy of our heart is ceased; Our dance is turned into mourning.,"Kan lungril hlimna a bo a, Kan lâmna chu lusûnaah ân chang a."
16,The crown is fallen from our head: Woe unto us! for we have sinned.,"Kan lua inthawk lallukhum chu a tlah a, Kan chung a va rik de! kan lo suol ta sih a."
17,For this our heart is faint; For these things our eyes are dim;,Hi lei hin kan lungril chu a chau a; Hieng thilhai lei hin kan mithai chu ân thim a.
18,"For the mountain of Zion, which is desolate: The foxes walk upon it.","Zion tlâng chu râusana umin, Sihalhai chu a chungah an inlawn a."
19,"Thou, O Jehovah, abidest for ever; Thy throne is from generation to generation.","Aw LALPA, nang chu kumkhuoin i um zing a; I lalṭhungpha khawm chu suon khata inthawka suon dang chenin a nih."
20,"Wherefore dost thou forget us for ever, And forsake us so long time?","Iengdinga keini mi theinghil kumkhuoin, Chuong chen lâwm lâwm iengdinga mi nghatsan el am i na?"
21,"Turn thou us unto thee, O Jehovah, and we shall be turned; Renew our days as of old.","Aw LALPA, i kuom tieng mîn nghat kîrtir nâwk la, hung ngha kîr el kan tih, Tienlai hun ang khan kan nihai hung sukthar rawh!"
22,But thou hast utterly rejected us; Thou art very wroth against us.,"Annawleh, nangin i mi hnâwl let dêr el am a nih? Kan chungah i lung a sen êm êm el am a nih?"
